city,area_crime
Aberdeen,874
Airway Heights,353
Algona,71
Anacortes,509
Arlington,3877
Asotin,22
Auburn,4235
Bainbridge Island,317
Battle Ground,429
Bellevue,34331
Bellingham,4067
Bingen,11
Black Diamond,51
Blaine,174
Bonney Lake,452
Bothell,1090
Bremerton,1612
Brewster,23
Brier,86
Buckley,93
Burien,2397
Burlington,1034
Camas,316
Carnation,49
Castle Rock,48
Centralia,830
Chehalis,519
Cheney,262
Chewelah,107
Clarkston,569
Cle Elum,109
Clyde Hill,51
Colfax,69
College Place,291
Colville,102
Connell,36
Cosmopolis,31
Coulee Dam,22
Coupeville,22
Covington,700
Des Moines,963
Dupont,76
Duvall,49
East Wenatchee,419
Eatonville,47
Edgewood,222
Edmonds,31057
Ellensburg,579
Elma,134
Enumclaw,327
Ephrata,392
Everett36,198
Everson,33
Federal Way,5106
Ferndale,304
Fife,763
Fircrest,168
Forks,100
Gig Harbor,470
Goldendale,202
Grand Coulee,60
Grandview,203
Granger,89
Hoquiam,278
Ilwaco,14
Issaquah,1082
Kalama,33
Kelso,597
Kenmore,323
Kennewick,2223
Kent,6169
Kettle Falls,31
Kirkland,1747
Kittitas,9
La Center,31
Lacey,1667
Lake Forest Park,296
Lake Stevens,660
Lakewood,2656
Liberty Lake,138
Long Beach,46
Longview,1896
Lynden,138
Lynnwood32162
Mabton,29
Maple Valley,446
Marysville,32427
Mattawa,23
Medina,75
Mercer Island,545
Mill Creek,391
Milton,249
Monroe,752
Montesano,65
Morton,21
Moses Lake,1557
Mossyrock,10
Mountlake Terrace,568
Mount Vernon,1394
Moxee,27
Mukilteo,3570
Napavine,17
Newcastle,265
Normandy Park,146
North Bend,243
Oak Harbor,246
Oakville,25
Ocean Shores,133
Odessa,4
Olympia,2309
Omak,262
Oroville,85
Orting,93
Othello,309
Pacific,126
Pasco,1493
Port Angeles,1092
Port Orchard,781
Port Townsend,256
Poulsbo,351
Prosser,106
Pullman,276
Puyallup,2734
Quincy,380
Raymond,50
Reardan,11
Redmond,1796
Renton,5795
Richland,1368
Ridgefield,104
Ritzville,71
Roy,12
Royal City,39
Ruston,22
Sammamish,392
SeaTac,1406
Seattle,37754
Sedro Woolley,413
Selah,91
Sequim,360
Shelton,693
Shoreline,1347
Snohomish,419
Snoqualmie,166
Soap Lake,28
South Bend,5
Spokane,15971
Spokane Valley,4779
Stanwood,3165
Steilacoom,58
Sultan3107
Sumas,30
Sumner,611
Sunnyside,404
Tacoma,13065
Tenino,54
Tieton,16
Toledo,10
Tonasket,25
Toppenish,427
Tukwila,3336
Tumwater,789
Twisp,37
Union Gap,641
University Place,745
Vancouver,5554
Walla Walla,1526
Wapato,228
Warden,66
Washougal,330
Wenatchee,1154
Westport,113
West Richland,150
White Salmon,47
Wilbur,1
Winlock,42
Winthrop,19
Woodinville,395
Woodland,236
Woodway,24
Yakima,5091
Yarrow Point,13
Yelm,439
Zillah,58
